tag,build_status,run_status,libpopcnt,cpu_tile,k_block,rows,cols,unroll,buffer_size,best_ns,avg_ns,gqps,checksum,perf_cycles,perf_instructions,perf_branches,perf_branch_misses,perf_cache_references,perf_cache_misses,perf_buffers_pending_cycles,perf_buffers_pending_instructions,perf_buffers_pending_l1d_pend_miss_fb_full,perf_buffers_pending_l1d_pend_miss_pending,perf_buffers_pending_l1d_pend_miss_pending_cycles,perf_cache_l1_cycles,perf_cache_l1_instructions,perf_cache_l1_mem_load_retired_l1_hit,perf_cache_l1_mem_load_retired_l1_miss,perf_cache_l2_cycles,perf_cache_l2_instructions,perf_cache_l2_mem_load_retired_l2_hit,perf_cache_l2_mem_load_retired_l2_miss,perf_cache_stalls_cycle_activity_stalls_l1d_miss,perf_cache_stalls_cycle_activity_stalls_l2_miss,perf_cache_stalls_cycle_activity_stalls_l3_miss,perf_cache_stalls_cycles,perf_cache_stalls_instructions,perf_execution_ports_cycles,perf_execution_ports_exe_activity_1_ports_util,perf_execution_ports_exe_activity_2_ports_util,perf_execution_ports_exe_activity_3_ports_util,perf_execution_ports_exe_activity_4_ports_util,perf_execution_ports_instructions,perf_frequency_cycles,perf_frequency_instructions,perf_frequency_msr_aperf_,perf_frequency_msr_mperf_,perf_summary_branch_misses,perf_summary_branches,perf_summary_cache_misses,perf_summary_cache_references,perf_summary_cycles,perf_summary_instructions,perf_tlb_cycles,perf_tlb_dTLB_load_misses,perf_tlb_dTLB_loads,perf_tlb_iTLB_load_misses,perf_tlb_instructions,profile_buffers_pending,profile_buffers_store,profile_cache_l1,profile_cache_l2,profile_cache_l3_dram,profile_cache_stalls,profile_execution_ports,profile_execution_uops,profile_frequency,profile_frontend,profile_power_rapl,profile_summary,profile_tlb,profile_uncore_numa,profile_vectorization
131-lib0-t16-k768-r4c2-u2-b-,ok,ok,0,16,768,4,2,2,-,6631171,6696532,152.915,32768000000,1500082031,3701180486,76756170,296324,61598441,1806582,1601005249,3708443524,18695907,1901148119,567648566,1510373896,3704476942,558896721,76830550,1536996076,3705237180,73917782,4376742,109471972,71829516,29567017,1528692088,3703056655,1694856337,109218843,731430634,131048773,264849917,3711707178,1699073547,3711970159,1699283078,1453596875,296324,76756170,1806582,61598441,1500082031,3701180486,1697280858,147392,667023228,18285,3711576776,ok,failed,ok,ok,failed,ok,ok,failed,ok,failed,failed,ok,ok,failed,failed
132-lib0-t16-k768-r4c2-u4-b-,ok,ok,0,16,768,4,2,4,-,6835774,6864549,149.172,32768000000,1565619444,3491517493,53914098,154453,62144235,2176578,1598857335,3491810643,25379148,2708856518,685493408,1532501721,3491097482,480806982,172426155,1540003877,3490600760,166622185,6141901,103654638,84036585,30445188,1520767899,3490404001,1689021893,109684294,810245017,81059756,272321754,3496998592,1682533173,3495423864,1682679749,1422711808,154453,53914098,2176578,62144235,1565619444,3491517493,1680516394,154471,663056366,18162,3495611103,ok,failed,ok,ok,failed,ok,ok,failed,ok,failed,failed,ok,ok,failed,failed
133-lib0-t16-k1024-r1c1-u1-b-,ok,ok,0,16,1024,1,1,1,-,8731414,8756217,116.945,32768000000,1935901757,3875507127,140973513,962783,60003020,1926718,2265054994,3887992312,277315298,9780625084,1911120464,1966381210,3875856665,898562696,499885821,2257795512,3889407639,469859197,27536761,426439969,391746515,23421723,2263292707,3885843629,2248472135,318131269,462656696,465929918,419508091,3887736771,2246856010,3886477921,2247029516,1986073633,962783,140973513,1926718,60003020,1935901757,3875507127,2248411415,23278,1620565283,19071,3886133946,ok,failed,ok,ok,failed,ok,ok,failed,ok,failed,failed,ok,ok,failed,failed
134-lib0-t16-k1024-r1c1-u2-b-,ok,ok,0,16,1024,1,1,2,-,8773419,8795072,116.429,32768000000,1957780672,3874599511,140769311,875121,64076411,1939503,2267418864,3887796048,277314845,9802231849,1914908519,1964849094,3876438725,898962306,500317088,2250929536,3885385632,469362206,28462439,429401627,394743738,23654600,2269777816,3886374925,2249896174,317774516,462717061,466747254,418678218,3887026514,2250127560,3887367634,2250308825,1993937408,875121,140769311,1939503,64076411,1957780672,3874599511,2256647822,23831,1621273881,17853,3888677427,ok,failed,ok,ok,failed,ok,ok,failed,ok,failed,failed,ok,ok,failed,failed
135-lib0-t16-k1024-r1c1-u4-b-,ok,ok,0,16,1024,1,1,4,-,8775472,8818692,116.117,32768000000,1952208143,3874917307,140814676,818219,63752719,1897728,2260779351,3887431012,276282461,9747787780,1908816483,1962715310,3876492210,898729396,499821756,2268444528,3891108616,469506647,28516994,409986531,376014245,20382222,2245275300,3886511182,2245907981,317286751,462813074,467000732,417999963,3885042816,2258113068,3889031374,2258272817,1998355533,818219,140814676,1897728,63752719,1952208143,3874917307,2252686677,22876,1621287662,18935,3888704828,ok,failed,ok,ok,failed,ok,ok,failed,ok,failed,failed,ok,ok,failed,failed
136-lib0-t16-k1024-r2c2-u1-b-,ok,ok,0,16,1024,2,2,1,-,6645787,6682976,153.225,32768000000,1491119189,4036849024,126498976,1521043,61167581,1769386,1769053905,4045853623,80355752,5923113980,1410233312,1482476280,4038026382,406725834,297548065,1497101156,4039394448,288523060,7264210,104351679,91175815,21786412,1507911202,4040826410,1768016239,130493185,510251591,212788248,366868322,4045814703,1764710113,4045787898,1764879347,1520542850,1521043,126498976,1769386,61167581,1491119189,4036849024,1845038543,96856,843726996,19392,4053586894,ok,failed,ok,ok,failed,ok,ok,failed,ok,failed,failed,ok,ok,failed,failed
137-lib0-t16-k1024-r2c2-u2-b-,ok,ok,0,16,1024,2,2,2,-,6744058,6781006,151.010,32768000000,1517744838,4026609579,125162946,1491852,61723742,1964780,1802539197,4039386212,83803125,6113556930,1413168771,1527114341,4029821580,405126906,300964760,1527547156,4030533681,291768671,8531164,161983871,142792026,22671550,1585622144,4031389327,1769100423,135129237,527754977,201551319,344128155,4034694556,1773982089,4035363842,1774163391,1525166658,1491852,125162946,1964780,61723742,1517744838,4026609579,1768748658,84825,836526649,17886,4035961045,ok,failed,ok,ok,failed,ok,ok,failed,ok,failed,failed,ok,ok,failed,failed
138-lib0-t16-k1024-r2c2-u4-b-,ok,ok,0,16,1024,2,2,4,-,6711116,6750940,151.683,32768000000,1521543094,3689429024,77697521,290826,62739102,2041049,1768457528,3697312378,93231361,5266043457,1096332178,1519891315,3691663239,510676171,256280483,1519069035,3689027353,247861663,8745249,128774708,112509391,24899108,1526316688,3689478526,1752432813,129147699,675014872,75972405,372059906,3694940208,1762799556,3696280191,1763018913,1511033791,290826,77697521,2041049,62739102,1521543094,3689429024,1759888668,83092,832105729,17546,3696044170,ok,failed,ok,ok,failed,ok,ok,failed,ok,failed,failed,ok,ok,failed,failed
139-lib0-t16-k1024-r2c4-u1-b-,ok,ok,0,16,1024,2,4,1,-,6785939,6820235,150.141,32768000000,1526500324,4011171118,123664491,816730,62700530,2124488,1784333283,4015684980,86890140,6148909593,1506626830,1533270241,4011546640,176905480,244269602,1531397638,4011588366,239578406,4537795,116477401,85418964,21238537,1541335928,4012857736,1786459059,150948741,574594646,128257724,380395548,4020070479,1767939028,4015847183,1768145542,1518152191,816730,123664491,2124488,62700530,1526500324,4011171118,1769021731,135239,635972398,18382,4015785581,ok,failed,ok,ok,failed,ok,ok,failed,ok,failed,failed,ok,ok,failed,failed
140-lib0-t16-k1024-r2c4-u2-b-,ok,ok,0,16,1024,2,4,2,-,6646796,6669391,153.537,32768000000,1509883149,3582051801,76588488,263000,62955335,2020905,1744322738,3584096886,115896424,4778339735,1055597499,1500973023,3580018150,348417514,190855122,1505245038,3581412616,185294530,4736796,111896276,83101993,20690020,1500201504,3579931898,1756878782,122794250,716891892,106506916,273946955,3585863361,1754111594,3588041840,1754344116,1507004350,263000,76588488,2020905,62955335,1509883149,3582051801,1750003230,128065,636200488,18285,3584426824,ok,failed,ok,ok,failed,ok,ok,failed,ok,failed,failed,ok,ok,failed,failed
