tag,build_status,run_status,libpopcnt,cpu_tile,k_block,rows,cols,unroll,buffer_size,best_ns,avg_ns,gqps,checksum,perf_cycles,perf_instructions,perf_branches,perf_branch_misses,perf_cache_references,perf_cache_misses,perf_buffers_pending_cycles,perf_buffers_pending_instructions,perf_buffers_pending_l1d_pend_miss_fb_full,perf_buffers_pending_l1d_pend_miss_pending,perf_buffers_pending_l1d_pend_miss_pending_cycles,perf_buffers_store_cycles,perf_buffers_store_instructions,perf_buffers_store_offcore_requests_buffer_sq_full,perf_buffers_store_offcore_requests_outstanding_cycles_with_data_rd,perf_buffers_store_offcore_requests_outstanding_demand_data_rd_ge_6,perf_buffers_store_resource_stalls_sb,perf_execution_uops_cycles,perf_execution_uops_instructions,perf_execution_uops_resource_stalls_any,perf_execution_uops_uops_executed_thread,perf_execution_uops_uops_issued_any,perf_execution_uops_uops_retired_retire_slots,perf_frequency_cycles,perf_frequency_instructions,perf_frequency_msr_aperf_,perf_frequency_msr_mperf_,perf_frontend_cycles,perf_frontend_idq_uops_not_delivered_core,perf_frontend_idq_uops_not_delivered_cycles_0_uops_deliv_core,perf_frontend_idq_uops_not_delivered_cycles_le_1_uop_deliv_core,perf_frontend_instructions,perf_power_rapl_cycles,perf_power_rapl_instructions,perf_summary_branch_misses,perf_summary_branches,perf_summary_cache_misses,perf_summary_cache_references,perf_summary_cycles,perf_summary_instructions,perf_tlb_cycles,perf_tlb_dTLB_load_misses,perf_tlb_dTLB_loads,perf_tlb_iTLB_load_misses,perf_tlb_iTLB_loads,perf_tlb_instructions,perf_uncore_numa_cycles,perf_uncore_numa_instructions,profile_buffers_pending,profile_buffers_store,profile_cache_l1,profile_cache_l2,profile_cache_l3_dram,profile_cache_stalls,profile_execution_ports,profile_execution_uops,profile_frequency,profile_frontend,profile_power_rapl,profile_summary,profile_tlb,profile_uncore_numa,profile_vectorization
001-lib0-t4-k256-r1c1-u1-b-,ok,ok,0,4,256,1,1,1,-,28930135,28938295,35.386,32768000000,7262113152,18521612207,582841541,2292820,201962334,53473,7226668990,18557876335,2022569,2601116117,1710413063,7189050078,18535934990,24251181,2201295729,402149,10987090,7263331816,18586709582,2046910782,19516294620,19892202910,19826655238,7284671508,18615819980,7285559172,7285519442,7290382746,297269130,47718735,67494743,18599707088,7209992412,18569098255,2292820,582841541,53473,201962334,7262113152,18521612207,7233697995,1645665,3467774908,45441,22818,18448946848,7296133153,18620052003,ok,ok,failed,failed,failed,failed,failed,ok,ok,ok,ok,ok,ok,ok,failed
002-lib0-t4-k256-r1c1-u2-b-,ok,ok,0,4,256,1,1,2,-,29004984,29009331,35.299,32768000000,7280476296,18520350640,572408014,2274363,200016865,67193,7170985162,18455319620,2021984,2771483010,1801390387,7251545390,18481976011,15610557,2082101396,350276,11492468,7271710516,18557605726,2052571757,19528935969,19869974852,19810209678,7268480800,18576592278,7269345050,7269682631,7279611429,255111950,45214889,63361814,18638750875,7244412306,18564230141,2274363,572408014,67193,200016865,7280476296,18520350640,7273832367,1655596,3465525951,56691,22067,18530340267,7269031240,18588519231,ok,ok,failed,failed,failed,failed,failed,ok,ok,ok,ok,ok,ok,ok,failed
003-lib0-t4-k256-r1c1-u4-b-,ok,ok,0,4,256,1,1,4,-,28837215,28846271,35.499,32768000000,7239987485,18481981115,591420079,2294729,201539897,46026,7209890135,18549258206,1839177,2740459578,1768085148,7242538718,18427109578,14520287,2182634940,378108,10217201,7243285582,18434871149,2071233995,19572656676,19843020237,19916950211,7272435656,18536252943,7273303046,7273270464,7273196498,284543372,46269282,57183902,18560243857,7267474078,18531788141,2294729,591420079,46026,201539897,7239987485,18481981115,7259874880,1720573,3468525342,61237,22246,18442448287,7263090314,18528830624,ok,ok,failed,failed,failed,failed,failed,ok,ok,ok,ok,ok,ok,ok,failed
004-lib0-t4-k256-r2c2-u1-b-,ok,ok,0,4,256,2,2,1,-,29448112,29454708,34.765,32768000000,7342904741,17848389125,585590898,6617255,198279052,46398,7297791367,17777261254,1576588,2797898169,2069961034,7308922191,17908888761,5507773,2518673401,232547,18500869,7308387000,17677628007,2516443112,17623727318,17689734749,17464018338,7297534974,17845677789,7298489050,7298564902,7303032740,778754776,53536922,69559811,17701242742,7335249631,17775463684,6617255,585590898,46398,198279052,7342904741,17848389125,7306524778,1617482,1914140808,67474,23337,17813841896,7246585015,17745240168,ok,ok,failed,failed,failed,failed,failed,ok,ok,ok,ok,ok,ok,ok,failed
005-lib0-t4-k256-r2c2-u2-b-,ok,ok,0,4,256,2,2,2,-,27745464,27763870,36.882,32768000000,6965937922,17223280226,351511833,1062554,198054100,58254,6936054645,17147151455,1670733,2688184680,1763020341,6971967085,17178419266,4005027,2268407804,256344,18900706,6959032140,17122561719,2444983546,17247657772,17184622629,17109406999,6980010215,17154263070,6980883763,6980930285,6953667809,262244228,43124613,58249517,17190031966,6982780748,17170667655,1062554,351511833,58254,198054100,6965937922,17223280226,6959592114,1665527,1919169018,51669,21974,17124915228,6970698472,17169981888,ok,ok,failed,failed,failed,failed,failed,ok,ok,ok,ok,ok,ok,ok,failed
006-lib0-t4-k256-r2c2-u4-b-,ok,ok,0,4,256,2,2,4,-,26515805,26527306,38.602,32768000000,6663978957,16910922562,258501872,688432,200048687,46573,6609373995,16834299642,1825902,3009564546,1672231856,6656958511,16921387712,8147773,2790889634,365206,17105410,6651044620,16902271654,2185329524,17049817288,16953671295,16963214279,6665899048,16925308894,6666776927,6666780435,6664959754,260246611,41735222,56901389,16941804651,6661430029,16898683157,688432,258501872,46573,200048687,6663978957,16910922562,6673540931,1685111,1899841701,55226,19156,16849005992,6669064544,16893998638,ok,ok,failed,failed,failed,failed,failed,ok,ok,ok,ok,ok,ok,ok,failed
007-lib0-t4-k256-r2c4-u1-b-,ok,ok,0,4,256,2,4,1,-,28255322,28268881,36.224,32768000000,7105120480,17323683721,341089841,2597516,200639883,44668,6924507781,17221131875,1743625,2842798742,1884357476,7140708734,17410942052,29387434,2599176048,485816,22186759,7132904849,17395799512,2426870515,20135388620,17760157665,17625510329,7116046124,17354252444,7116909990,7117273294,7109709979,256135921,43089182,60336375,17338911903,7116866578,17310437687,2597516,341089841,44668,200639883,7105120480,17323683721,7113494570,1380067,4399930251,55648,24382,17368968677,7073544815,17367662179,ok,ok,failed,failed,failed,failed,failed,ok,ok,ok,ok,ok,ok,ok,failed
008-lib0-t4-k256-r2c4-u2-b-,ok,ok,0,4,256,2,4,2,-,27399125,27455676,37.296,32768000000,6895858354,16684462201,249375751,689647,200582265,42651,6850299644,16635556652,2224653,3592001434,2179793969,6918467847,16717234468,27250243,1935905520,485684,21115959,6924481729,16784872064,2444874770,19332248411,17020572810,16926150453,6854365114,16681465796,6855272583,6855334895,6916245027,233496567,39623284,54089209,16745168356,6909511524,16714946200,689647,249375751,42651,200582265,6895858354,16684462201,6908775753,1475460,4062500435,67962,20794,16749288322,6911008835,16762210204,ok,ok,failed,failed,failed,failed,failed,ok,ok,ok,ok,ok,ok,ok,failed
009-lib0-t4-k256-r2c4-u4-b-,ok,ok,0,4,256,2,4,4,-,28696690,28804695,35.550,32768000000,7229015054,17456603560,376886852,714630,200369944,45137,7182633943,17579032385,2501626,3161353970,1984780213,7142257929,17430871298,30189485,3145113613,424260,19760388,7225230918,17458933163,2537625619,20618726578,17893089561,17864795851,7225053493,17535885429,7225936069,7226020443,7223763639,260981517,41721700,50212672,17490291916,7228232599,17540682760,714630,376886852,45137,200369944,7229015054,17456603560,7223244274,1359258,4409583810,66332,21953,17512773122,7235736376,17522122433,ok,ok,failed,failed,failed,failed,failed,ok,ok,ok,ok,ok,ok,ok,failed
010-lib0-t4-k256-r4c2-u1-b-,ok,ok,0,4,256,4,2,1,-,27106178,27600477,37.101,32768000000,6757660634,16744372272,323644180,1833439,200304592,137289,6764097460,16635477585,1782134,3067177314,2054985239,6830411186,16819588847,4993769,3182984862,190527,17073605,6806361596,16652877081,2428784187,16844529132,16733536702,16746348558,6857884032,16754102364,6858745949,6858827724,6861661848,232981060,39690689,58709670,16748976631,6846052777,16745643236,1833439,323644180,137289,200304592,6757660634,16744372272,6872680525,1538528,1497492035,58095,21242,16688572264,6855823316,16758035588,ok,ok,failed,failed,failed,failed,failed,ok,ok,ok,ok,ok,ok,ok,failed
