tag,build_status,run_status,libpopcnt,cpu_tile,k_block,rows,cols,unroll,buffer_size,best_ns,avg_ns,gqps,checksum,perf_cycles,perf_instructions,perf_branches,perf_branch_misses,perf_cache_references,perf_cache_misses,perf_buffers_pending_cycles,perf_buffers_pending_instructions,perf_buffers_pending_l1d_pend_miss_fb_full,perf_buffers_pending_l1d_pend_miss_pending,perf_buffers_pending_l1d_pend_miss_pending_cycles,perf_buffers_store_cycles,perf_buffers_store_instructions,perf_buffers_store_offcore_requests_buffer_sq_full,perf_buffers_store_offcore_requests_outstanding_cycles_with_data_rd,perf_buffers_store_offcore_requests_outstanding_demand_data_rd_ge_6,perf_buffers_store_resource_stalls_sb,perf_execution_uops_cycles,perf_execution_uops_instructions,perf_execution_uops_resource_stalls_any,perf_execution_uops_uops_executed_thread,perf_execution_uops_uops_issued_any,perf_execution_uops_uops_retired_retire_slots,perf_frequency_cycles,perf_frequency_instructions,perf_frequency_msr_aperf_,perf_frequency_msr_mperf_,perf_frontend_cycles,perf_frontend_idq_uops_not_delivered_core,perf_frontend_idq_uops_not_delivered_cycles_0_uops_deliv_core,perf_frontend_idq_uops_not_delivered_cycles_le_1_uop_deliv_core,perf_frontend_instructions,perf_power_rapl_cycles,perf_power_rapl_instructions,perf_summary_branch_misses,perf_summary_branches,perf_summary_cache_misses,perf_summary_cache_references,perf_summary_cycles,perf_summary_instructions,perf_tlb_cycles,perf_tlb_dTLB_load_misses,perf_tlb_dTLB_loads,perf_tlb_iTLB_load_misses,perf_tlb_iTLB_loads,perf_tlb_instructions,perf_uncore_numa_cycles,perf_uncore_numa_instructions,profile_buffers_pending,profile_buffers_store,profile_cache_l1,profile_cache_l2,profile_cache_l3_dram,profile_cache_stalls,profile_execution_ports,profile_execution_uops,profile_frequency,profile_frontend,profile_power_rapl,profile_summary,profile_tlb,profile_uncore_numa,profile_vectorization
001-lib0-t4-k256-r1c1-u1-b-,ok,ok,0,4,256,1,1,1,-,14504583,14519327,70.527,32768000000,7482495516,18656565350,652541691,2450366,203604745,364943,7467171196,18787451904,3033832,3148035269,2013210146,7517856183,18716603064,32808177,2188157820,517674,14738961,7451750375,18644824962,2109291970,19710323967,20079076917,19961420405,7485712054,18743109357,7487541922,7487764989,7450044074,357248062,52855930,72488170,18759230323,7488572864,18746275342,2450366,652541691,364943,203604745,7482495516,18656565350,7499459400,1736969,3536297156,74351,25305,18765048712,7531198104,18817767370,ok,ok,failed,failed,failed,failed,failed,ok,ok,ok,ok,ok,ok,ok,failed
002-lib0-t4-k256-r1c1-u2-b-,ok,ok,0,4,256,1,1,2,-,14504588,14531789,70.466,32768000000,7472715425,18683743132,598877938,2412022,198905653,392463,7466068367,18698070654,3356578,3034975778,1952825538,7425610561,18617119331,34995569,2146495626,483476,15300711,7436895896,18605728554,2151673012,19688486638,20038823852,19968988495,7512338867,18778657543,7513984910,7516146829,7493318352,349571662,56942297,75311739,18736762881,7421033841,18719322504,2412022,598877938,392463,198905653,7472715425,18683743132,7471822213,1746089,3513651247,84289,23874,18660272961,7551259476,18834465423,ok,ok,failed,failed,failed,failed,failed,ok,ok,ok,ok,ok,ok,ok,failed
003-lib0-t4-k256-r1c1-u4-b-,ok,ok,0,4,256,1,1,4,-,14514170,14544175,70.406,32768000000,7443278239,18625608431,641409963,2515179,202574759,369961,7387825722,18670660353,2825589,3016082329,1930243392,7421039645,18615505010,37351510,2202746107,468926,15299150,7485585233,18725625946,2179999968,19722505706,20061459254,20021511485,7468320106,18733304420,7470004307,7470925050,7528325378,365626121,56575223,79176952,18749764842,7489780365,18761835781,2515179,641409963,369961,202574759,7443278239,18625608431,7443464160,1727234,3519119556,69229,26236,18631292585,7472296850,18722312001,ok,ok,failed,failed,failed,failed,failed,ok,ok,ok,ok,ok,ok,ok,failed
004-lib0-t4-k256-r2c2-u1-b-,ok,ok,0,4,256,2,2,1,-,14785551,14793816,69.218,32768000000,7568290235,18027341886,715365758,6791802,202666059,267260,7557346085,18288683850,3128328,2584271667,1863305361,7560237434,17986693308,17036488,2568951135,312462,23534019,7593639251,18085868629,2549306386,17959619378,17980378765,17827594070,7375454234,18063122171,7377092165,7378860529,7578244185,839660740,65689719,102701302,18225976286,7604003862,18098446352,6791802,715365758,267260,202666059,7568290235,18027341886,7579975978,1741170,2026554374,87052,30624,18060707115,7636957484,18146574931,ok,ok,failed,failed,failed,failed,failed,ok,ok,ok,ok,ok,ok,ok,failed
005-lib0-t4-k256-r2c2-u2-b-,ok,ok,0,4,256,2,2,2,-,13882931,13903474,73.651,32768000000,7108679110,17186394957,456506368,805797,202859172,279496,7113932339,17362030379,2793455,2839020287,1883174741,7199835148,17474769886,22441903,2310921220,356596,24123930,7178726302,17475062682,2489820677,17372417271,17363040420,17265906847,7204731301,17427237349,7206437362,7208760871,7178284986,352103835,53145038,72406843,17341446467,7101496085,17354865042,805797,456506368,279496,202859172,7108679110,17186394957,7144370024,1754384,1992172594,81121,28454,17348946077,7163020452,17364178297,ok,ok,failed,failed,failed,failed,failed,ok,ok,ok,ok,ok,ok,ok,failed
006-lib0-t4-k256-r2c2-u4-b-,ok,ok,0,4,256,2,2,4,-,13291477,13318011,76.888,32768000000,6855140679,17085523750,317487476,904474,201966092,430590,6801155751,17019693026,2936230,3201322299,1777165839,6885504448,17149659884,21008404,2894173071,418258,23824077,6868488278,17150155263,2198887377,17244707152,17273636361,17080582546,6869813859,17117252826,6871503781,6872365109,6862698249,334227575,50087177,71419463,17019095830,6866361162,17131231384,904474,317487476,430590,201966092,6855140679,17085523750,6823395945,1680637,1999291697,78123,33284,17048758127,6956580347,17219748505,ok,ok,failed,failed,failed,failed,failed,ok,ok,ok,ok,ok,ok,ok,failed
007-lib0-t4-k256-r2c4-u1-b-,ok,ok,0,4,256,2,4,1,-,14234507,14245386,71.883,32768000000,7307857183,17576731618,430088607,2731949,201452765,476647,7168266627,17542935460,3119294,2772183185,1803178661,7319550664,17668333449,46034855,2928784722,533157,26325680,7315058511,17649720721,2383418572,20455173418,18154799221,17851181618,7345856110,17643812697,7347524949,7350253608,7309035146,358014719,56020761,79208231,17587506070,7313216995,17608398261,2731949,430088607,476647,201452765,7307857183,17576731618,7302443659,1446325,4448129155,86661,24017,17607236945,7330516580,17612519850,ok,ok,failed,failed,failed,failed,failed,ok,ok,ok,ok,ok,ok,ok,failed
008-lib0-t4-k256-r2c4-u2-b-,ok,ok,0,4,256,2,4,2,-,13760248,13779357,74.314,32768000000,7068373207,16772085732,349468875,806527,204047912,248993,7004920893,16916278779,2924905,3047480217,1884293466,7029107371,16780642630,48462103,2224003102,568860,23174801,7099297563,17032424658,2465770191,19606489572,17218880257,17194221262,7185069075,17008864296,7186795531,7189327922,7103965523,306868212,50713509,76765750,16983691410,7090933438,16983163705,806527,349468875,248993,204047912,7068373207,16772085732,7290939017,1490955,4217026401,92020,26787,17116659606,7121573237,17006369415,ok,ok,failed,failed,failed,failed,failed,ok,ok,ok,ok,ok,ok,ok,failed
009-lib0-t4-k256-r2c4-u4-b-,ok,ok,0,4,256,2,4,4,-,14516040,14535425,70.449,32768000000,7443283260,17750686980,473806048,795495,202264428,242690,7426219848,17937372382,3006895,3221263069,1997163621,7400098073,17706029201,41247307,3081718264,517598,23695994,7324181843,17707751732,2486805234,20735664995,18113419251,18047491970,7463993153,17893159578,7465722218,7469627374,7469432058,321645711,52349455,82468237,17886140929,7495048922,17894644163,795495,473806048,242690,202264428,7443283260,17750686980,7400308755,1434461,4478299437,85337,35654,17705650898,7455657335,17840156925,ok,ok,failed,failed,failed,failed,failed,ok,ok,ok,ok,ok,ok,ok,failed
010-lib0-t4-k256-r4c2-u1-b-,ok,ok,0,4,256,4,2,1,-,13655997,13681574,74.845,32768000000,6997180694,16873592035,448312977,1979760,202943772,489708,6959061928,16888051792,2973198,3030495816,2031064989,6988137813,16883002229,7649879,3453553536,290524,20823454,6970260212,16798491120,2422561300,17160025946,16994269997,17022755884,7030595677,16993019061,7032267016,7032526703,7012129873,425720750,66136832,87143298,16944943620,7046579195,16996161043,1979760,448312977,489708,202943772,6997180694,16873592035,6985581342,1549642,1581725954,97127,26148,16829799625,7016580661,16964351494,ok,ok,failed,failed,failed,failed,failed,ok,ok,ok,ok,ok,ok,ok,failed
