tag,build_status,run_status,libpopcnt,cpu_tile,k_block,rows,cols,unroll,buffer_size,best_ns,avg_ns,gqps,checksum,perf_cycles,perf_instructions,perf_branches,perf_branch_misses,perf_cache_references,perf_cache_misses,perf_buffers_pending_cpu_core_l1d_pend_miss_fb_full_,perf_buffers_pending_cpu_core_l1d_pend_miss_pending_,perf_buffers_pending_cpu_core_l1d_pend_miss_pending_cycles_,perf_buffers_pending_cycles,perf_buffers_pending_instructions,perf_cache_l1_cpu_core_mem_load_retired_l1_hit_,perf_cache_l1_cpu_core_mem_load_retired_l1_miss_,perf_cache_l1_cycles,perf_cache_l1_instructions,perf_cache_l2_cpu_core_mem_load_retired_l2_hit_,perf_cache_l2_cpu_core_mem_load_retired_l2_miss_,perf_cache_l2_cycles,perf_cache_l2_instructions,perf_cache_l3_dram_cpu_core_mem_load_l3_miss_retired_local_dram_,perf_cache_l3_dram_cpu_core_mem_load_retired_l3_hit_,perf_cache_l3_dram_cpu_core_mem_load_retired_l3_miss_,perf_cache_l3_dram_cycles,perf_cache_l3_dram_instructions,perf_cache_stalls_cpu_core_cycle_activity_stalls_l1d_miss_,perf_cache_stalls_cpu_core_cycle_activity_stalls_l2_miss_,perf_cache_stalls_cpu_core_cycle_activity_stalls_l3_miss_,perf_cache_stalls_cycles,perf_cache_stalls_instructions,perf_execution_ports_cpu_core_exe_activity_1_ports_util_,perf_execution_ports_cpu_core_exe_activity_2_ports_util_,perf_execution_ports_cpu_core_exe_activity_3_ports_util_,perf_execution_ports_cpu_core_exe_activity_4_ports_util_,perf_execution_ports_cycles,perf_execution_ports_instructions,perf_frequency_cycles,perf_frequency_instructions,perf_frequency_msr_aperf_,perf_frequency_msr_mperf_,perf_summary_branch_misses,perf_summary_branches,perf_summary_cache_misses,perf_summary_cache_references,perf_summary_cycles,perf_summary_instructions,perf_tlb_cpu_atom_dTLB_load_misses_,perf_tlb_cpu_atom_dTLB_loads_,perf_tlb_cpu_atom_iTLB_load_misses_,perf_tlb_cpu_core_dTLB_load_misses_,perf_tlb_cpu_core_dTLB_loads_,perf_tlb_cpu_core_iTLB_load_misses_,perf_tlb_cycles,perf_tlb_instructions,profile_buffers_pending,profile_buffers_store,profile_cache_l1,profile_cache_l2,profile_cache_l3_dram,profile_cache_stalls,profile_execution_ports,profile_execution_uops,profile_frequency,profile_frontend,profile_power_rapl,profile_summary,profile_tlb,profile_uncore_numa,profile_vectorization
117-lib0-t16-k512-r2c4-u4-b-,ok,ok,0,16,512,2,4,4,-,111209726,112102716,9.134,32768000000,10038022106,16745231774,292270971,647561,31844754,4005641,11056835,505476854,428543779,10041847673,16748644898,4081277377,61813075,10056658114,16751441024,62761550,546969,10040560012,16748240299,60124,450412,60124,10030061047,16744937825,92141590,28966255,18108536,10040457803,16746052946,2800537603,3344111538,1834258038,616295707,10041041588,16744189533,10068569282,16752198383,10067194922,5695877535,647561,292270971,4005641,31844754,10038022106,16745231774,331963,4149863316,13341,333090,4149322129,12343,10908713588,16740820119,ok,failed,ok,ok,ok,ok,ok,failed,ok,failed,failed,ok,ok,failed,failed
118-lib0-t16-k512-r4c2-u1-b-,ok,ok,0,16,512,4,2,1,-,110146445,111333272,9.198,32768000000,9916916424,15961383489,241788170,637072,32297929,4095653,11816220,508209357,430642812,9917638440,15960199789,1189008057,63064518,9914436155,15958632871,62469199,524442,9920788107,15957295249,63505,419855,63505,9913501341,15959744332,94801764,29794465,17316267,9917935279,15964560513,3439907920,3460545492,1276474986,160434383,9877364336,15953926913,9919824297,15962588690,9918545047,5728203411,637072,241788170,4095653,32297929,9916916424,15961383489,332556,1266726349,12974,333190,1267438277,11357,9930532730,15937270288,ok,failed,ok,ok,ok,ok,ok,failed,ok,failed,failed,ok,ok,failed,failed
119-lib0-t16-k512-r4c2-u2-b-,ok,ok,0,16,512,4,2,2,-,99936483,101062654,10.132,32768000000,9904861621,15661991861,146425592,565903,32218049,3896516,11899522,487764323,398664245,9880873125,15655177877,1188970084,64043657,9919473720,15662237118,61480293,540060,9884070111,15655141564,63745,412981,63745,9863919623,15654433105,95705731,31004949,17971157,9875535087,15653790310,3396864857,3497896976,1359493892,180535471,9876349847,15652147963,9901658442,15659418173,9900299746,5618323663,565903,146425592,3896516,32218049,9904861621,15661991861,329970,1266740777,13718,330140,1267142306,12811,9918958982,15654730709,ok,failed,ok,ok,ok,ok,ok,failed,ok,failed,failed,ok,ok,failed,failed
120-lib0-t16-k512-r4c2-u4-b-,ok,ok,0,16,512,4,2,4,-,100631817,104019851,9.844,32768000000,9928744905,16477138881,290241980,455882,32150651,4009292,11944080,507657267,427038913,9921399927,16474614360,1187210450,66392449,9932319687,16478350501,65317008,519618,9933492786,16474500312,59091,408667,59091,9925146679,16474968190,102880647,30829539,18007863,9960318058,16484392421,3422596226,3460393812,1302178706,196144253,9931680591,16480959939,9941341406,16475947404,9939734839,5518124164,455882,290241980,4009292,32150651,9928744905,16477138881,329752,1262612015,13652,331164,1262639294,12143,9906141634,16441357499,ok,failed,ok,ok,ok,ok,ok,failed,ok,failed,failed,ok,ok,failed,failed
121-lib0-t16-k768-r1c1-u1-b-,ok,ok,0,16,768,1,1,1,-,103726150,104820352,9.769,32768000000,10140096975,17805849003,457319307,3353441,32276144,4247833,16124847,725084497,349004845,10120015610,17801866559,3087008272,57943541,10133246427,17806448017,56127884,1372357,10140213779,17803544610,175159,1074798,175159,10126789231,17801562844,147991328,41415234,22345043,10126182548,17804536377,3076796414,3392229011,1548017832,393032704,10142728923,17805400076,10413600320,17782309869,10412368749,6052349438,3353441,457319307,4247833,32276144,10140096975,17805849003,329729,3217500096,13918,330697,3219411292,12942,10134094529,17798004430,ok,failed,ok,ok,ok,ok,ok,failed,ok,failed,failed,ok,ok,failed,failed
122-lib0-t16-k768-r1c1-u2-b-,ok,ok,0,16,768,1,1,2,-,101925798,102725110,9.968,32768000000,10111637924,17800531174,455634236,3380491,32664695,4356361,14864982,699725551,339928956,10121926700,17805983529,3086022873,58033315,10125058348,17803993084,56543757,1366376,10150720303,17806502500,174202,1084303,174202,10133009549,17808322464,153273746,44083035,24813188,10141045336,17806964579,3083196944,3396832103,1547346985,392541054,10163843779,17809271784,10135532139,17804905474,10134050614,5733283849,3380491,455634236,4356361,32664695,10111637924,17800531174,328048,3210264297,13247,329121,3211583916,11630,10142458478,17771364255,ok,failed,ok,ok,ok,ok,ok,failed,ok,failed,failed,ok,ok,failed,failed
123-lib0-t16-k768-r1c1-u4-b-,ok,ok,0,16,768,1,1,4,-,103192609,110036474,9.306,32768000000,10124548329,17806809802,457441913,3385100,32388653,4187439,16381351,724048433,348713873,10149151363,17807396148,3085740178,57682060,10117346934,17801560216,56271268,1355199,10130061918,17806658741,186679,1070679,186679,10135773252,17803972699,156903796,45975508,25743813,10134376131,17803863058,3081270036,3396791405,1547338788,391878931,10134080109,17809147134,10144497816,17806244042,10143052720,5723458671,3385100,457441913,4187439,32388653,10124548329,17806809802,329424,3218929065,13256,329959,3220909390,12927,10135353341,17806619371,ok,failed,ok,ok,ok,ok,ok,failed,ok,failed,failed,ok,ok,failed,failed
124-lib0-t16-k768-r2c2-u1-b-,ok,ok,0,16,768,2,2,1,-,106628344,110548193,9.263,32768000000,9937864765,16931868024,436883522,2222440,32622785,4083177,10280812,585827040,486574018,9932601110,16929099554,1567048895,67785332,9916948556,16927984347,66928433,557251,9942925037,16932851899,71853,445556,71853,9959503768,16935414649,118905814,27741107,15512466,9949585557,16934984539,3382886196,3354288451,1260516851,284137087,9934191165,16931276028,9962066526,16936831936,9960720880,5724258078,2222440,436883522,4083177,32622785,9937864765,16931868024,331233,1653210187,13916,332497,1653095156,12531,9913796690,16922328170,ok,failed,ok,ok,ok,ok,ok,failed,ok,failed,failed,ok,ok,failed,failed
125-lib0-t16-k768-r2c2-u2-b-,ok,ok,0,16,768,2,2,2,-,103510112,109867698,9.320,32768000000,9956560333,16387156316,247769652,806542,32709267,4318956,10925836,451557463,356758859,9947709076,16389818638,1581752976,48688749,10280708996,16394573395,48297250,665445,9926803674,16380873846,76827,543917,76827,9925504468,16380839409,109437973,30363231,16304196,9904345693,16376466789,3390843418,3385170900,1280028606,242093870,9931302254,16382409449,9963671550,16386992373,9962073409,5440338691,806542,247769652,4318956,32709267,9956560333,16387156316,328540,1675470892,13288,328730,1677265806,13193,9971200181,16367493839,ok,failed,ok,ok,ok,ok,ok,failed,ok,failed,failed,ok,ok,failed,failed
126-lib0-t16-k768-r2c2-u4-b-,ok,ok,0,16,768,2,2,4,-,104155361,108840475,9.408,32768000000,9871082007,16101902954,151315815,840757,32963145,4180552,15203302,456041299,318019633,9885380295,16101879224,1591730412,46323761,9858764250,16098930466,47061254,756020,9881847015,16098923137,97635,581088,97635,10000264669,16098367873,107251738,38345488,22659140,9889072546,16102321754,3313535916,3450454774,1376680330,217784179,9866380010,16097590521,9877400603,16103098535,9876224951,5792238554,840757,151315815,4180552,32963145,9871082007,16101902954,328790,1663380502,14176,330017,1663382909,12667,9848993609,16104764331,ok,failed,ok,ok,ok,ok,ok,failed,ok,failed,failed,ok,ok,failed,failed
