tag,build_status,run_status,libpopcnt,cpu_tile,k_block,rows,cols,unroll,buffer_size,best_ns,avg_ns,gqps,checksum,perf_cycles,perf_instructions,perf_branches,perf_branch_misses,perf_cache_references,perf_cache_misses,perf_buffers_pending_cycles,perf_buffers_pending_instructions,perf_buffers_pending_l1d_pend_miss_fb_full,perf_buffers_pending_l1d_pend_miss_pending,perf_buffers_pending_l1d_pend_miss_pending_cycles,perf_buffers_store_cycles,perf_buffers_store_instructions,perf_buffers_store_offcore_requests_buffer_sq_full,perf_buffers_store_offcore_requests_outstanding_cycles_with_data_rd,perf_buffers_store_offcore_requests_outstanding_demand_data_rd_ge_6,perf_buffers_store_resource_stalls_sb,perf_cache_l1_cycles,perf_cache_l1_instructions,perf_cache_l1_mem_load_retired_l1_hit,perf_cache_l1_mem_load_retired_l1_miss,perf_cache_l2_cycles,perf_cache_l2_instructions,perf_cache_l2_mem_load_retired_l2_hit,perf_cache_l2_mem_load_retired_l2_miss,perf_cache_l3_dram_cycles,perf_cache_l3_dram_instructions,perf_cache_l3_dram_mem_load_l3_miss_retired_local_dram,perf_cache_l3_dram_mem_load_retired_l3_hit,perf_cache_l3_dram_mem_load_retired_l3_miss,perf_cache_stalls_cycle_activity_stalls_l1d_miss,perf_cache_stalls_cycle_activity_stalls_l2_miss,perf_cache_stalls_cycle_activity_stalls_l3_miss,perf_cache_stalls_cycles,perf_cache_stalls_instructions,perf_execution_ports_cycles,perf_execution_ports_exe_activity_1_ports_util,perf_execution_ports_exe_activity_2_ports_util,perf_execution_ports_exe_activity_3_ports_util,perf_execution_ports_exe_activity_4_ports_util,perf_execution_ports_instructions,perf_execution_uops_cycles,perf_execution_uops_instructions,perf_execution_uops_resource_stalls_any,perf_execution_uops_uops_executed_thread,perf_execution_uops_uops_issued_any,perf_execution_uops_uops_retired_retire_slots,perf_frequency_cycles,perf_frequency_instructions,perf_frequency_msr_aperf_,perf_frequency_msr_mperf_,perf_frontend_cycles,perf_frontend_idq_uops_not_delivered_core,perf_frontend_idq_uops_not_delivered_cycles_0_uops_deliv_core,perf_frontend_idq_uops_not_delivered_cycles_le_1_uop_deliv_core,perf_frontend_instructions,perf_power_rapl_cycles,perf_power_rapl_instructions,perf_summary_branch_misses,perf_summary_branches,perf_summary_cache_misses,perf_summary_cache_references,perf_summary_cycles,perf_summary_instructions,perf_tlb_cycles,perf_tlb_dTLB_load_misses,perf_tlb_dTLB_loads,perf_tlb_iTLB_load_misses,perf_tlb_iTLB_loads,perf_tlb_instructions,perf_uncore_numa_cycles,perf_uncore_numa_instructions,profile_buffers_pending,profile_buffers_store,profile_cache_l1,profile_cache_l2,profile_cache_l3_dram,profile_cache_stalls,profile_execution_ports,profile_execution_uops,profile_frequency,profile_frontend,profile_power_rapl,profile_summary,profile_tlb,profile_uncore_numa,profile_vectorization
417-lib1-t32-k768-r1c1-u--b16,ok,ok,1,32,768,1,1,-,16,66208915,66411114,15.419,32768000000,15891599187,43301367700,2404780779,12998783,33712281,2673636,15846478298,43416436660,1414807,1456782480,1294712439,15925943448,43394451618,1358249,652441753,297557,9790643,15858977167,43430215163,18357640176,56752183,15901908284,43437031078,55732438,1028688,15841042016,43420742028,100594,880983,100699,142479198,71063456,18191532,15840702033,43419413873,15923151515,328976944,933480058,1658387165,4596172359,43220131729,15889029745,43307534450,1493823499,55152868204,43205384319,42834351800,15900561158,43444669584,15901310470,13170477300,15866231177,1258168943,146417021,182750572,43429780855,15916639417,43452226511,12998783,2404780779,2673636,33712281,15891599187,43301367700,15881571618,274700,19477894595,139940,41134,43171393968,15867293949,43433447865,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,failed
418-lib1-t32-k768-r1c1-u--b32,ok,ok,1,32,768,1,1,-,32,70134806,70356779,14.554,32768000000,16886772152,41253975549,1471381056,1055733,32833745,2628758,16846172939,41200487276,1469579,1260512916,1093393379,16870872386,41241108271,1588404,619817090,284369,10724683,16834937527,41198618443,18634917612,99288207,16523366525,41036113589,97783120,1483964,16811076212,41187459983,138325,1253412,138445,119202184,72502196,21151273,16900169215,41182414904,16867204677,407479124,1511519345,3103068461,4640495291,41152897671,16849848033,41212911021,2768671207,53391294370,41220332800,41113484483,16876525676,41213764186,16877469249,13959472783,16851299707,1049090652,136934595,176636818,41202298015,16766802818,41163964485,1055733,1471381056,2628758,32833745,16886772152,41253975549,16838718677,275436,19328147415,139973,39704,41243406821,16860932246,41206626062,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,failed
419-lib1-t32-k768-r1c1-u--b64,ok,ok,1,32,768,1,1,-,64,34275996,34886717,29.352,32768000000,8350615927,17648686039,541143304,793921,32790080,2415464,8366715075,17667089636,5883134,2862890615,1327065412,8497215111,17736893641,8057581,452374912,17414735,11066319,8376968425,17668930060,4777759629,252264626,8359277447,17650273573,248349367,3348077,8359214905,17658870149,263729,2981911,263792,209709234,122743016,32307856,8483219418,17696686756,8434716422,874176585,1965535922,1641705948,1069576201,17678589285,8464981234,17665029825,1805776166,20801344001,19236021510,19210039687,8311869898,17648554572,8312507875,6917542132,8462824566,506973364,79045589,99518847,17685645367,8447201326,17693931821,793921,541143304,2415464,32790080,8350615927,17648686039,8456291936,231047,5325818026,81310,34353,17783746544,8341915412,17655105481,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,failed
420-lib1-t32-k768-r1c1-u--b128,ok,ok,1,32,768,1,1,-,128,33236005,33412378,30.647,32768000000,8030126326,15818311032,508469598,791783,32910400,2314917,7962862858,15798486736,38024844,6162034144,2310397823,8065509218,15830619723,9493568,432712818,71823008,9250537,7942933356,15794737129,4083624166,516237744,8013403518,15823228942,515085400,8081504,7993824439,15815776291,486270,7348049,486325,249254254,159079033,42539943,7990301293,15804767884,8027920587,707035156,1978004737,1539868702,1154084034,15808251927,8003292163,15806854489,1802832308,19000733741,17529170570,17383108236,8015025029,15816402076,8015582580,6679045622,8004736826,533231527,76105858,96152834,15818676772,8051070102,15832688094,791783,508469598,2314917,32910400,8030126326,15818311032,8053366617,235833,5184700547,94717,36719,15872561317,7983283419,15810974820,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,failed
421-lib1-t32-k768-r2c2-u--b16,ok,ok,1,32,768,2,2,-,16,45717724,45800809,22.358,32768000000,11015070283,28698514565,1480918847,2227116,33192257,2641823,10985580994,28699731824,1390112,1281944148,858148568,11043244987,28696212908,6300563,678468334,526669,9747422,10950980920,28682136536,8937813735,108760424,11057723936,28723447272,109079085,1225736,10972594842,28689631682,95316,1080200,95425,110955874,67630228,18781917,10992456028,28699630751,11030839725,463662982,1473053708,2122726075,2837949956,28666312696,11003838321,28721418413,1376056111,31173494949,29450810279,29349129704,10997777523,28703697284,10998358690,9156510613,11010835224,723191187,98124401,125583208,28708919590,11022768112,28714794118,2227116,1480918847,2641823,33192257,11015070283,28698514565,11041818306,292716,9183315603,120907,33025,28681538400,11030577489,28716308204,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,failed
422-lib1-t32-k768-r2c2-u--b32,ok,ok,1,32,768,2,2,-,32,41549955,41694932,24.559,32768000000,10022046813,26525185205,682836057,1101062,33340029,2538593,10010520012,26539979185,4304890,1748028468,999640146,10085853189,26611394477,7566061,572204248,8304237,13743711,9984485072,26533518176,8683672295,141511403,10009466568,26536883328,140512974,1819323,10006039048,26533913915,142385,1630029,142469,96053094,66323420,21607198,9988519561,26527193223,9998651686,275352959,1249207140,2476422287,2667519716,26653876566,9991951304,26477794704,1151943573,29110241363,27141656851,27027712257,10026883695,26543153436,10027498687,8331093498,10025763270,665642494,91088117,117314886,26537173507,10013611615,26540377205,1101062,682836057,2538593,33340029,10022046813,26525185205,9969697171,286066,9026210564,100249,36412,26531044475,9968893090,26525620788,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,failed
423-lib1-t32-k768-r2c2-u--b64,ok,ok,1,32,768,2,2,-,64,35700563,36427240,28.111,32768000000,8568617097,18937081876,670626529,2179202,32855503,2366549,8578877091,18973571964,20776107,3474808566,1556476838,8504089921,18921939456,16329559,496516639,15369348,107538602,8484759494,18942352625,3354118498,292551935,8540734070,18959921808,283482631,3459451,8458603643,18940998365,229614,3069207,229736,125609896,89327524,31090432,8634877187,18991271274,8582466302,682367756,2096138624,2263232568,1198425499,18919582704,8524185317,18984114797,1808819573,20757617493,19258498392,19169295499,8562725128,18974232466,8563328306,7095387051,8481518058,518252948,79182376,99077092,18939567135,8506665148,18940507165,2179202,670626529,2366549,32855503,8568617097,18937081876,8553526950,259288,4066150759,84710,34581,18903428982,8583776492,18985108074,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,failed
424-lib1-t32-k768-r2c2-u--b128,ok,ok,1,32,768,2,2,-,128,32887818,33068496,30.966,32768000000,7955563750,17014779218,677681164,2236101,33141359,2374956,7912052042,16973072289,2281750,3641470853,1786418925,7940470432,17005776523,23280890,467427798,12157163,266897854,7947515779,16980796248,2858876908,237306828,7908679953,16973228969,245548505,2561024,7930943605,16980967510,235461,2193751,235538,126981673,86147520,31030582,7895090932,16971501588,7978904476,674296622,2159868074,1885661501,1088049890,17001910730,7921318702,16984544488,1922581518,18626077159,17124287910,16941288015,7894101674,16966903150,7894539893,6600392734,7898043674,436343255,71736509,89959938,16973348070,7919316356,16972574987,2236101,677681164,2374956,33141359,7955563750,17014779218,7943516817,282809,3729531631,68029,35087,17015221350,7958691112,16989364796,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,failed
425-lib1-t32-k768-r2c4-u--b16,ok,ok,1,32,768,2,4,-,16,41386354,41558752,24.640,32768000000,9972208445,25951066588,675421743,1500665,32815866,2429603,9911557643,25839289835,2038695,2956715181,1442306570,9965729720,25961385829,16760041,558696009,3990729,16798994,9944340264,25857631242,8210703787,264058502,9976161237,25871551258,265088553,1416015,9944525640,25855846140,95541,1277555,95653,72578855,57934666,17368260,9958188399,25861190609,9986603908,227157484,1101320661,2456630726,2998639992,25914443400,9953539785,25858330138,1178845430,28932933581,26774007942,26669761639,9957059445,25861252509,9957672349,8272215324,10068770807,642039590,96768161,121998263,25867841683,9952203445,25857739384,1500665,675421743,2429603,32815866,9972208445,25951066588,9887336734,340557,8697404243,89107,37772,25763636527,9972368226,25870750969,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,failed
426-lib1-t32-k768-r2c4-u--b32,ok,ok,1,32,768,2,4,-,32,43393758,43494288,23.543,32768000000,10490283200,25981002204,741120383,1579460,32927093,2586597,10460844445,25965421836,76011851,4106717395,1568477526,10455307836,25947644838,21191048,505288111,8006740,271506909,10421781292,25942918269,7590036662,322146093,10493365251,25975984339,325268991,2059061,10455515538,25960166381,138514,1873606,138587,99554926,65262139,21734933,10416482254,25941977730,10452335006,388613299,1536535334,2944838426,2612950455,25934961997,10487226619,25938876195,1604397471,28311846752,26399350252,26429407365,10493680769,25978928651,10494228878,8731841976,10437129352,652994311,93297534,118682341,25955339177,10468902676,25963342690,1579460,741120383,2586597,32927093,10490283200,25981002204,10411509022,332709,8250170350,103838,34059,25901391629,10452859337,25958710854,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,failed
